startMonth,startDay,startYear,endMonth,endDay,endYear,wikiUrl,text,fontSize,fontFamily,bold,color,backgroundColor,croptop,cropright,cropbottom,cropleft,positiontop,positionleft,scale,height,verticalOffset,textWeek,zIndexOverride
2,7,1785,2,7,1785,https://en.wikipedia.org/wiki/Eleventh_Amendment_to_the_United_States_Constitution,11,3.8em,Arial,TRUE,black,white,30,0,0,0,30%,8%,1,1,0,1,80
6,15,1804,6,15,1804,https://en.wikipedia.org/wiki/Twelfth_Amendment_to_the_United_States_Constitution,12,3.8em,Arial,TRUE,black,white,30,0,0,0,30%,8%,1,1,0,1,80
12,18,1865,12,18,1865,https://en.wikipedia.org/wiki/Thirteenth_Amendment_to_the_United_States_Constitution,13,3.8em,Arial,TRUE,black,white,30,0,0,0,30%,8%,1,1,0,1,80
7,9,1868,7,9,1868,https://en.wikipedia.org/wiki/Fourteenth_Amendment_to_the_United_States_Constitution,14,3.8em,Arial,TRUE,black,white,30,0,0,0,30%,8%,1,1,0,1,80
2,3,1870,2,3,1870,https://en.wikipedia.org/wiki/Fifteenth_Amendment_to_the_United_States_Constitution,15,3.8em,Arial,TRUE,black,white,30,0,0,0,30%,8%,1,1,0,1,80
2,3,1913,2,3,1913,https://en.wikipedia.org/wiki/Sixteenth_Amendment_to_the_United_States_Constitution,16,3.8em,Arial,TRUE,black,white,30,0,0,0,30%,8%,1,1,0,1,80
4,8,1913,4,8,1913,https://en.wikipedia.org/wiki/Seventeenth_Amendment_to_the_United_States_Constitution,17,3.8em,Arial,TRUE,black,white,30,0,0,0,30%,8%,1,1,0,1,80
1,16,1919,1,16,1919,https://en.wikipedia.org/wiki/Eighteenth_Amendment_to_the_United_States_Constitution,18,3.8em,Arial,TRUE,black,white,30,0,0,0,30%,8%,1,1,0,1,80
8,18,1920,8,18,1920,https://en.wikipedia.org/wiki/Nineteenth_Amendment_to_the_United_States_Constitution,19,3.8em,Arial,TRUE,black,white,30,0,0,0,30%,8%,1,1,0,1,80
1,23,1933,1,23,1933,https://en.wikipedia.org/wiki/Twentieth_Amendment_to_the_United_States_Constitution,20,3.8em,Arial,TRUE,black,white,30,0,0,0,30%,8%,1,1,0,1,80
12,5,1933,12,5,1933,https://en.wikipedia.org/wiki/Twenty-first_Amendment_to_the_United_States_Constitution,21,3.8em,Arial,TRUE,black,white,30,0,0,0,30%,8%,1,1,0,1,80
2,27,1951,2,27,1951,https://en.wikipedia.org/wiki/Twenty-second_Amendment_to_the_United_States_Constitution,22,3.8em,Arial,TRUE,black,white,30,0,0,0,30%,8%,1,1,0,1,80
3,29,1961,3,29,1961,https://en.wikipedia.org/wiki/Twenty-third_Amendment_to_the_United_States_Constitution,23,3.8em,Arial,TRUE,black,white,30,0,0,0,30%,8%,1,1,0,1,80
1,23,1964,1,23,1964,https://en.wikipedia.org/wiki/Twenty-fourth_Amendment_to_the_United_States_Constitution,24,3.8em,Arial,TRUE,black,white,30,0,0,0,30%,8%,1,1,0,1,80
2,10,1967,2,10,1967,https://en.wikipedia.org/wiki/Twenty-fifth_Amendment_to_the_United_States_Constitution,25,3.8em,Arial,TRUE,black,white,30,0,0,0,30%,8%,1,1,0,1,80
7,1,1971,7,1,1971,https://en.wikipedia.org/wiki/Twenty-sixth_Amendment_to_the_United_States_Constitution,26,3.8em,Arial,TRUE,black,white,30,0,0,0,30%,8%,1,1,0,1,80
5,7,1992,5,7,1992,https://en.wikipedia.org/wiki/Twenty-seventh_Amendment_to_the_United_States_Constitution,27,3.8em,Arial,TRUE,black,white,30,0,0,0,30%,8%,1,1,0,1,80
6,20,1900,8,14,1900,https://en.wikipedia.org/wiki/Siege_of_the_International_Legations,SIEGE OF THE INTERNATIONAL LEGATIONS,2.3em,Arial,TRUE,GOLD,RED,30,0,10,0,40%,1%,1,0.8,0,"2,4,9",20
8,1,1904,8,6,1904,https://en.wikipedia.org/wiki/Siege_of_Port_Arthur,SIEGE OF PORT ARTHUR BEGINS,1.8EM,Arial,TRUE,BLUE,RED,30,0,10,0,43%,1%,1,0.8,0,1,20
1,1,1905,1,2,1905,https://en.wikipedia.org/wiki/Siege_of_Port_Arthur,ARTHUR ENDS,1.35EM,Arial,TRUE,BLUE,RED,30,0,10,0,43%,1%,1,0.8,0,1,20
1,22,1905,1,28,1905,https://en.wikipedia.org/wiki/Russian_Revolution_of_1905,1905 REVOLUTION STARTS,2.3em,Arial,TRUE,BLUE,RED,30,0,10,0,43%,15%,1,0.8,0,1,20
6,11,1905,6,16,1905,https://en.wikipedia.org/wiki/Russian_Revolution_of_1905,1905 REVOLUTION ENDS,2.3em,Arial,TRUE,BLUE,RED,30,0,10,0,43%,5%,1,0.8,0,1,20
6,27,1905,7,7,1905,https://en.wikipedia.org/wiki/Russian_battleship_Potemkin#Mutiny,POTEMKIN MUTINY,2.0em,Arial,TRUE,BLUE,RED,30,0,10,0,43%,5%,1,0.8,0,1,20
7,3,1908,7,24,1908,https://en.wikipedia.org/wiki/Young_Turk_Revolution,YOUNG TURK REVOLUTION,2.3em,Arial,TRUE,BLACK,GOLD,30,0,10,0,40%,7%,1,0.8,0,2,20
10,5,1908,10,8,1908,https://en.wikipedia.org/wiki/Bosnian_Crisis,AUSTRIA ANNEXES BOSNIA,1.4em,Arial,TRUE,WHITE,RED,30,0,10,0,50%,3%,1,0.8,0,1,20
11,20,1910,11,30,1910,https://www.jekyllisland.com/magazine/birth-of-the-fed/,JEKYLL ISLAND,2.3em,Arial,TRUE,WHITE,GREEN,30,0,10,0,40%,25%,1,0.8,0,1,20
9,29,1911,11,11,1911,https://en.wikipedia.org/wiki/Italian_invasion_of_Libya,ITALY INVADES LIBYA,2.3em,Arial,TRUE,black,lightgreen,30,0,10,0,40%,17%,1,0.8,25,2,20
10,10,1911,12,1,1911,https://en.wikipedia.org/wiki/Wuchang_Uprising,WUCHANG UPRISING,2.3em,Arial,TRUE,red,gold,30,0,10,0,40%,17%,1,0.8,0,2,20
10,6,1912,10,12,1912,https://en.wikipedia.org/wiki/First_Balkan_War,FIRST BALKAN WAR STARTS,2.3em,Arial,TRUE,black,pink,30,0,10,0,40%,4%,1,0.8,0,1,20
5,25,1913,5,31,1913,https://en.wikipedia.org/wiki/First_Balkan_War,FIRST BALKAN WAR ENDS,2.3em,Arial,TRUE,black,pink,30,0,10,0,40%,8%,1,0.8,0,1,20
6,29,1913,8,10,1913,https://en.wikipedia.org/wiki/Second_Balkan_War,SECOND BALKAN WAR,2.3em,Arial,TRUE,black,pink,30,0,10,0,40%,12%,1,0.8,0,"3,8",20
7,23,1914,7,25,1914,https://simple.wikipedia.org/wiki/July_Ultimatum,ULTIMATUM,2.3em,Arial,TRUE,black,red,30,0,10,0,40%,6%,1,0.8,0,1,20
7,28,1914,7,31,1914,https://en.wikipedia.org/wiki/July_Crisis#Austria-Hungary_declares_war_on_Serbia_(28_July),WWI STARTS,2.3em,Arial,TRUE,white,black,30,0,10,0,40%,15%,1,0.8,0,1,20
8,7,1914,9,6,1914,https://en.wikipedia.org/wiki/Battle_of_the_Frontiers,BATTLE OF THE FRONTEIRS,2.3em,Arial,TRUE,white,black,30,0,10,0,40%,5%,1,0.8,15,3,20
8,23,1914,8,30,1914,https://en.wikipedia.org/wiki/Battle_of_Tannenberg,BATTLE OF TANNENBERG,2.3em,Arial,TRUE,BLACK,GREY,30,0,10,0,40%,8%,1,0.8,0,1,20
9,7,1914,9,24,1914,https://en.wikipedia.org/wiki/Battle_of_the_Drina,BATTLE OF THE DRINA,2.3em,Arial,TRUE,BLACK,LIGHTBLUE,30,0,10,0,40%,8%,1,0.7,0,2,20
9,5,1914,9,14,1914,https://en.wikipedia.org/wiki/First_Battle_of_the_Marne,BATTLE OF THE MARNE,2.3em,Arial,TRUE,WHITE,PURPLE,30,0,10,0,40%,8%,1,0.7,35,2,20
9,17,1914,10,8,1914,https://en.wikipedia.org/wiki/Battle_of_the_Frontiers,RACE TO THE SEA,2.3em,Arial,TRUE,white,black,30,0,10,0,38%,18%,1,0.7,35,2,20
11,22,1914,12,15,1914,https://en.wikipedia.org/wiki/Battle_of_Kolubara,BATTLE OF THE KOLUBARA,2.3em,Arial,TRUE,BLACK,LIGHTBLUE,30,0,10,0,38%,5%,1,0.7,0,"1,4",20
2,19,1915,2,27,1915,https://en.wikipedia.org/wiki/Gallipoli_campaign,GALLIPOLI BEGINS,2.3em,Arial,TRUE,BLACK,cornsilk,30,0,10,0,38%,20%,1,0.7,0,2,20
5,24,1915,5,29,1915,https://en.wikipedia.org/wiki/White_War,WHITE WAR BEGINS,2.3em,Arial,TRUE,BLACK,GREEN,30,0,10,0,38%,12%,1,0.7,0,1,20
11,25,1915,1,18,1916,https://en.wikipedia.org/wiki/Great_Retreat_(Serbia),GREAT RETREAT,2.3em,Arial,TRUE,BLACK,LIGHTBLUE,30,0,10,0,38%,25%,1,0.7,0,"4,9",20
1,1,1916,1,9,1916,https://en.wikipedia.org/wiki/Gallipoli_campaign,GALLIPOLI ENDS,2.3em,Arial,TRUE,BLACK,cornsilk,30,0,10,0,38%,33%,1,0.7,25,2,20
5,15,1916,6,10,1916,https://en.wikipedia.org/wiki/Battle_of_Asiago,BATTLE OF ASIAGO,2.4em,Arial,TRUE,black,GREEN,30,0,10,0,40%,15%,1,0.8,25,"2,5",20
6,11,1916,6,17,1916,https://en.wikipedia.org/wiki/Arab_Revolt,ARAB REVOLT BEGINS,2.4em,Arial,TRUE,black,TAN,30,0,10,0,40%,15%,1,0.8,25,1,20
2,21,1916,12,18,1916,https://en.wikipedia.org/wiki/Battle_of_the_Somme,BATTLE OF VERDUN,2.4em,Arial,TRUE,black,LightGray,30,0,10,0,35%,15%,1,0.7,-12,"1,4,9,15,20,25,31,36,41,47,51",20
7,1,1916,11,18,1916,https://en.wikipedia.org/wiki/Battle_of_Verdun,BATTLE OF THE SOMME,2.4em,Arial,TRUE,black,grey,30,0,10,0,40%,15%,1,0.8,30,"2,8,13,18,24",20
2,9,1917,3,20,1917,https://en.wikipedia.org/wiki/Operation_Alberich,OPERATION ALBERICH,2.3em,Arial,TRUE,white,black,30,0,10,0,38%,18%,1,0.7,0,2,20
3,8,1917,3,16,1917,https://en.wikipedia.org/wiki/February_Revolution,FEBRUARY REVOLUTION,2.3em,Arial,TRUE,black,red,30,0,10,0,40%,3%,1,0.8,30,2,21
4,2,1917,4,7,1917,https://en.wikipedia.org/wiki/Bloody_April,BLOODY APRIL STARTS,2.1EM,Arial,TRUE,white,black,30,0,10,0,38%,18%,1,0.7,0,1,20
4,9,1917,5,16,1917,https://en.wikipedia.org/wiki/Battle_of_Arras_(1917),BATTLE OF ARRAS,2.3em,Arial,TRUE,WHITE,PURPLE,30,0,10,0,38%,21%,1,0.7,35,"3,6",20
7,1,1917,7,12,1917,https://en.wikipedia.org/wiki/Manchu_Restoration,MANCHU RESTORATION,2.3em,Arial,TRUE,GOLD,RED,30,0,10,0,38%,13%,1,0.7,0,1,20
7,16,1917,7,20,1917,https://en.wikipedia.org/wiki/July_Days,JULY DAYS,2.3em,Arial,TRUE,black,red,30,0,10,0,40%,26%,1,0.8,0,1,21
7,31,1917,11,10,1917,https://en.wikipedia.org/wiki/Battle_of_Passchendaele,BATTLE OF PASSCHENDAELE,2.3em,Arial,TRUE,white,black,30,0,10,0,36%,2%,1,0.7,0,"3,8,14,19",20
10,24,1917,11,19,1917,https://en.wikipedia.org/wiki/Battle_of_Caporetto,BATTLE OF CAPORETTO,2.3em,Arial,TRUE,black,GREEN,30,0,10,0,38%,12%,1,0.7,30,5,20
9,10,1917,9,13,1917,https://en.wikipedia.org/wiki/Kornilov_affair,KORNILOV AFFAIR,2.1em,Arial,TRUE,black,red,30,0,10,0,40%,2%,1,0.8,30,1,21
2,3,1917,2,9,1917,https://en.wikipedia.org/wiki/Spanish_flu,SPANISH FLU,2.3em,Arial,TRUE,BLACK,VIOLET,30,0,10,0,40%,2%,1,0.8,0,1,21
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
9,30,1941,1,7,1942,https://en.wikipedia.org/wiki/Battle_of_Moscow,BATTLE OF MOSCOW,2.3em,Arial,TRUE,black,RED,30,0,10,0,45%,20%,1,0.8,25,"3,8,15",20
8,23,1942,2,2,1943,https://en.wikipedia.org/wiki/Battle_of_Stalingrad,BATTLE OF STALINGRAD,2.2EM,Arial,TRUE,black,RED,30,0,10,0,45%,13%,1,0.72,15,"1,4,9,14,19,25",20
7,9,1943,8,17,1943,https://en.wikipedia.org/wiki/Allied_invasion_of_Sicily,OPERATION HUSKY,2.3em,Arial,TRUE,black,lightblue,30,0,10,0,45%,25%,1,0.8,25,"2,6",8
7,5,1943,8,23,1943,https://en.wikipedia.org/wiki/Battle_of_Kursk,BATTLE OF KURSK,2.3em,Arial,TRUE,black,RED,30,0,10,0,40%,25%,1,0.7,0,"2,7",9
2,13,1945,2,15,1945,https://en.wikipedia.org/wiki/Bombing_of_Dresden,DRESDEN,2.4em,Arial,TRUE,black,orange,30,0,10,0,40%,12%,1,1,0,1,20
11,30,1939,3,13,1940,https://en.wikipedia.org/wiki/Winter_War,THE WINTER WAR,2.3em,Arial,TRUE,black,RED,30,0,10,0,45%,25%,1,0.8,1,"3,8,13,18",20
3,9,1945,3,10,1945,https://en.wikipedia.org/wiki/Bombing_of_Tokyo_(10_March_1945),TOKYO,2.4em,Arial,TRUE,black,orange,30,0,10,0,40%,10%,1,1,0,1,21
2,4,1945,2,11,1945,https://en.wikipedia.org/wiki/Yalta_Conference,YALTA,4em,Arial,TRUE,black,gold,30,0,10,0,30%,33%,1,1,0,1,20
7,17,1945,8,2,1945,https://en.wikipedia.org/wiki/Potsdam_Conference,POTSDAM,4em,Arial,TRUE,black,gold,30,0,10,0,30%,25%,1,1,0,2,20
12,16,1944,1,28,1945,https://en.wikipedia.org/wiki/Battle_of_the_Bulge,BATTLE OF THE BULGE,2.3em,Arial,TRUE,black,LIGHTBLUE,30,0,10,0,45%,15%,1,0.8,1,"3,5",20
4,16,1945,5,2,1945,https://en.wikipedia.org/wiki/Battle_of_Berlin,BATTLE OF BERLIN,2.3em,Arial,TRUE,black,RED,30,0,10,0,45%,20%,1,0.8,25,2,9
2,19,1945,3,26,1945,https://en.wikipedia.org/wiki/Battle_of_Iwo_Jima,IWO JIMA,3em,Arial,TRUE,black,lightblue,30,0,10,0,30%,30%,1,0.8,0,"2,5",20
4,1,1945,6,25,1945,https://en.wikipedia.org/wiki/Battle_of_Okinawa,OKINAWA,3em,Arial,TRUE,black,lightblue,30,0,10,0,30%,30%,1,0.8,0,"1,8,13",8
6,26,1945,7,2,1945,https://www.roberthjackson.org/nuremberg-event/the-london-conference-june-26-august-2-1945/,LONDON CONFERENCE,2em,Arial,TRUE,black,grey,30,0,10,0,40%,5%,1,0.8,0,1,8
5,8,1945,5,8,1945,https://en.wikipedia.org/wiki/Victory_in_Europe_Day,VE,3.8em,Arial,TRUE,black,white,30,0,0,0,30%,0%,1,1,0,1,80
10,16,1859,10,18,1859,https://en.wikipedia.org/wiki/John_Brown%27s_raid_on_Harpers_Ferry,HARPERS FERRY,1.7em,Arial,TRUE,BLACK,orange,30,0,10,0,40%,0%,1,0.8,0,1,20
4,12,1861,4,13,1861,https://en.wikipedia.org/wiki/Battle_of_Fort_Sumter,FT. SUMTER,1.5em,Arial,TRUE,black,LightGray,30,0,10,0,40%,8%,1,0.8,30,1,20
4,12,1861,4,13,1861,https://en.wikipedia.org/wiki/American_Civil_War,START,2.4em,Arial,TRUE,white,black,30,0,10,0,40%,12%,1,0.7,-12,1,20
2,11,1862,2,16,1862,https://en.wikipedia.org/wiki/Battle_of_Fort_Donelson,FT. DONELSON,2.4em,Arial,TRUE,black,lightblue,30,0,10,0,40%,15%,1,0.8,0,1,20
4,6,1862,4,7,1862,https://en.wikipedia.org/wiki/Battle_of_Shiloh,SHILOH,2.4em,Arial,TRUE,black,lightblue,30,0,10,0,40%,5%,1,0.8,25,1,21
4,5,1862,5,4,1862,https://en.wikipedia.org/wiki/Siege_of_Yorktown_(1862),SIEGE OF YORKTOWN,2.4em,Arial,TRUE,black,LightGray,30,0,10,0,40%,14%,1,0.8,0,3,20
4,25,1862,5,1,1862,https://en.wikipedia.org/wiki/Capture_of_New_Orleans,NO CAPTURED,2.4em,Arial,TRUE,black,lightblue,30,0,10,0,40%,5%,1,0.8,25,2,21
6,25,1862,7,1,1862,https://en.wikipedia.org/wiki/Seven_Days_Battles,SEVEN DAYS,2.4em,Arial,TRUE,black,LightGray,30,0,10,0,40%,14%,1,0.8,0,1,20
8,28,1862,8,30,1862,https://en.wikipedia.org/wiki/Second_Battle_of_Bull_Run,BULL RUN 2,2.4em,Arial,TRUE,black,LightGray,30,0,10,0,40%,14%,1,0.8,25,1,21
8,14,1862,10,10,1862,https://en.wikipedia.org/wiki/Confederate_Heartland_Offensive,HEARTLAND,2.4em,Arial,TRUE,black,lightblue,30,0,10,0,40%,30%,1,0.8,0,"2,6,11",20
12,11,1862,12,15,1862,https://en.wikipedia.org/wiki/Battle_of_Fredericksburg,FREDERICKSBURG,1.6EM,Arial,TRUE,black,LightGray,30,0,10,0,40%,0%,1,0.8,0,1,20
4,30,1863,5,6,1863,https://en.wikipedia.org/wiki/Battle_of_Chancellorsville,CHANCELLORSVILLE,1.6EM,Arial,TRUE,black,LightGray,30,0,10,0,40%,10%,1,0.8,0,3,20
5,18,1863,7,4,1863,https://en.wikipedia.org/wiki/Siege_of_Vicksburg,VICKSBURG SIEGE,2.4em,Arial,TRUE,black,lightblue,30,0,10,0,40%,20%,1,0.8,0,"2,5",20
7,1,1863,7,3,1863,https://en.wikipedia.org/wiki/Battle_of_Gettysburg,GETTYSBURG,2.1em,Arial,TRUE,white,darkblue,30,0,10,0,40%,2%,1,0.8,25,1,20
7,11,1863,7,16,1863,https://en.wikipedia.org/wiki/New_York_City_draft_riots,NY DRAFT RIOTS,2.4em,Arial,TRUE,black,lightblue,30,0,10,0,40%,10%,1,0.8,0,2,20
9,18,1863,9,20,1863,https://cdn.britannica.com/72/159972-050-7EEE3840/Fort-Wagner-work-Kurz-fort-Allison-July-18-1863.jpg,CHICKAMAUGA,1.3EM,Arial,TRUE,black,LightGray,30,0,10,0,55%,0%,1,0.8,0,1,20
9,21,1863,11,25,1863,https://en.wikipedia.org/wiki/Chattanooga_campaign,CHATTANOOGA,2.4em,Arial,TRUE,black,lightblue,30,0,10,0,40%,30%,1,0.8,0,"1,4,9",20
10,13,1863,11,7,1863,https://en.wikipedia.org/wiki/Bristoe_campaign,BRISTOE,2.4em,Arial,TRUE,black,lightblue,30,0,10,0,40%,35%,1,0.8,25,"2,4",20
11,27,1863,12,2,1863,https://en.wikipedia.org/wiki/Battle_of_Mine_Run,MINE RUN,1.5EM,Arial,TRUE,white,GREY,30,0,10,0,52%,13%,1,0.8,0,"2,3",20
5,5,1864,5,7,1864,https://en.wikipedia.org/wiki/Battle_of_the_Wilderness,WILDERNESS,1.5EM,Arial,TRUE,white,GREY,30,0,10,0,52%,18%,1,0.8,0,1,20
5,9,1864,5,21,1864,https://en.wikipedia.org/wiki/Battle_of_Spotsylvania_Court_House,BATTLE OF SPOTS COURT HOUSE,2EM,Arial,TRUE,white,GREY,30,0,10,0,45%,2%,1,0.8,0,2,20
5,23,1864,5,26,1864,https://en.wikipedia.org/wiki/Battle_of_North_Anna,NORTH ANNA,2EM,Arial,TRUE,white,GREY,30,0,10,0,45%,17%,1,0.8,0,1,20
5,28,1864,5,30,1864,https://en.wikipedia.org/wiki/Battle_of_Totopotomoy_Creek,TOP CREEK,1.5EM,Arial,TRUE,white,GREY,30,0,10,0,52%,7%,1,0.8,0,2,20
5,31,1864,6,12,1864,https://en.wikipedia.org/wiki/Battle_of_Cold_Harbor,COLD HARBOR,2.4em,Arial,TRUE,black,LightGray,30,0,10,0,40%,10%,1,0.8,25,3,21
6,9,1864,6,18,1864,https://en.wikipedia.org/wiki/Siege_of_Petersburg,PETERSBURG STARTS,2.4em,Arial,TRUE,black,lightblue,30,0,10,0,40%,18%,1,0.8,-10,2,20
6,17,1864,6,18,1864,https://en.wikipedia.org/wiki/Battle_of_Lynchburg,LYNCHBURG,1.5EM,Arial,TRUE,black,LightGray,35,0,10,0,52%,3%,1,0.8,30,1,20
7,11,1864,7,12,1864,https://en.wikipedia.org/wiki/Battle_of_Fort_Stevens,FT. STEVENS,1.5EM,Arial,TRUE,black,lightblue,30,0,10,0,40%,3%,1,0.8,0,1,20
11,15,1864,12,21,1864,https://en.wikipedia.org/wiki/Sherman%27s_March_to_the_Sea,MARCH TO THE SEA,2.3em,Arial,TRUE,black,LIGHTBLUE,30,0,10,0,45%,15%,1,0.8,0,"2,5",20
1,1,1865,1,7,1865,https://en.wikipedia.org/wiki/Carolinas_campaign,CAROLINAS CAMPAIGN STARTS,2.2em,Arial,TRUE,black,LIGHTBLUE,30,0,10,0,45%,1%,1,0.8,0,1,20
3,19,1865,3,25,1865,https://en.wikipedia.org/wiki/Siege_of_Petersburg,PETERSBURG ENDS,2.4em,Arial,TRUE,black,lightblue,30,0,10,0,40%,18%,1,0.8,0,1,20
4,23,1865,4,26,1865,https://en.wikipedia.org/wiki/Carolinas_campaign,CAROLINA ENDS,2.2em,Arial,TRUE,black,LIGHTBLUE,30,0,10,0,45%,5%,1,0.8,0,1,20
